,type,sport,urlname,url
247,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/esther-muchinga_1973939
248,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/benat-turrientes_1942301
249,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/naomi-girma_1943555
250,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/diego-lopez_1942222
251,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/asahi-uenaka_1953195
252,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/vladimir-nazarov_1896798
253,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kailen-sheridan_1967225
254,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/oleh-ocheretko_1564442
255,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/volodymyr-saliuk_1564445
256,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/steph-catley_1941497
257,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/esther-okoronkwo_1975967
258,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rafael-nunez_1950119
259,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mary-wilombe_1977623
260,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/cristhian-mosquera_1942248
261,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-rafaelle_1967625
262,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kaito-suzuki_1953255
263,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-mohamed-hamdy_1957028
264,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/enso-gonzalez_1932960
265,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-muntadher-abdulameer_1535804
266,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/marc-pubill_1942269
267,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sekou-tidiany-bangoura_1961554
268,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/michelle-alozie_1971874
269,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/honoka-hayashi_1888195
270,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/daniel-rivas_1933379
271,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-nihad-mohammed_1535930
272,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/abel-ruiz_1942280
273,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/marco-di-cesare_1930372
274,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/francisco-reyes_1971698
275,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jay-herdman_1944890
276,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-ana-vitoria_1967565
277,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kaitlyn-torpey_1941480
278,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/michelle-heyman_1941490
279,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/wendie-renard_1930130
280,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/castello-lukeba_1900683
281,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/alyssa-naeher_1943575
282,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/julio-enciso_1947874
283,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rayan-cherki_1900641
284,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/saki-kumagai_1888214
285,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ilana-izquierdo_1917364
286,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jesse-randall_1944953
287,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ochumba-lubandji_1976014
288,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-hamza-alaa_1937571
289,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/moriba-ilaix_1961561
290,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sara-doorsoun_1880565
291,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/bruno-amione_1930237
292,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/caleb-wiley_1943931
293,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kiril-fesiun_1564426
294,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kate-maria-taylor_1944935
295,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/algassime-bah_1961564
296,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/luis-toomey_1944856
297,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-hossam-abdelmaguid_1937515
298,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-karrar-saad_1535928
299,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/alan-nunez_1930444
300,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/constance-picaud_1930119
301,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/prisca-chilufya_1976010
302,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/teresa-abelleira_1959947
303,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ousmane-camara_1975420
304,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/maksym-braharu_1564420
305,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/roy-sasoon_1950864
306,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/zakaria-el-ouahdi_1965809
307,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ben-old_1944887
308,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/adi-yona_1950857
309,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/aitana-bonmati_1959965
310,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/valentyn-rubchynskyi_1564444
311,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/oleh-fedor_4658110
312,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/janina-minge_1880574
